mes_inicio;provincia_origen;provincia_destino;viajes;viajeros;edicion
2021-01;Buenos Aires;Buenos Aires;6920;22436;previaje 1
2021-01;Buenos Aires;Catamarca;24;56;previaje 1
2021-01;Buenos Aires;Chaco;15;27;previaje 1
2021-01;Buenos Aires;Chubut;446;1203;previaje 1
2021-01;Buenos Aires;Ciudad Aut¢noma de Buenos Aires;112;272;previaje 1
2021-01;Buenos Aires;C¢rdoba;1604;4983;previaje 1
2021-01;Buenos Aires;Corrientes;45;126;previaje 1
2021-01;Buenos Aires;Entre R¡os;333;1195;previaje 1
2021-01;Buenos Aires;Formosa;4;9;previaje 1
2021-01;Buenos Aires;Jujuy;191;451;previaje 1
2021-01;Buenos Aires;La Pampa;10;29;previaje 1
2021-01;Buenos Aires;La Rioja;27;61;previaje 1
2021-01;Buenos Aires;Mendoza;1316;3641;previaje 1
2021-01;Buenos Aires;Misiones;734;2028;previaje 1
2021-01;Buenos Aires;Neuqu‚n;1502;5049;previaje 1
2021-01;Buenos Aires;R¡o Negro;4978;15410;previaje 1
2021-01;Buenos Aires;Salta;568;1465;previaje 1
2021-01;Buenos Aires;San Juan;32;83;previaje 1
2021-01;Buenos Aires;San Luis;457;1346;previaje 1
2021-01;Buenos Aires;Santa Cruz;1028;2797;previaje 1
2021-01;Buenos Aires;Santa Fe;34;77;previaje 1
2021-01;Buenos Aires;Santiago del Estero;67;226;previaje 1
2021-01;Buenos Aires;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;1166;3149;previaje 1
2021-01;Buenos Aires;Tucum n;95;242;previaje 1
2021-01;Catamarca;Buenos Aires;8;16;previaje 1
2021-01;Catamarca;Catamarca;3;9;previaje 1
2021-01;Catamarca;Ciudad Aut¢noma de Buenos Aires;8;12;previaje 1
2021-01;Catamarca;C¢rdoba;14;40;previaje 1
2021-01;Catamarca;R¡o Negro;7;19;previaje 1
2021-01;Catamarca;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;5;10;previaje 1
2021-01;Chaco;Buenos Aires;29;74;previaje 1
